date,interest_rate,inflation,gdp,liquidity
1995-08-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1995-09-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1995-10-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1995-11-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1995-12-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1996-01-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1996-02-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1996-03-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1996-04-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
1996-05-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-06-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-07-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-08-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-09-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-10-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-11-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1996-12-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-01-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-02-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-03-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-04-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-05-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-06-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-07-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-08-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-09-01,9.0,0.347811226864587,1211331651866.09,135.580416035304
1997-10-01,8.55,0.347811226864587,1211331651866.09,135.580416035304
1997-11-01,8.55,0.347811226864587,1211331651866.09,135.580416035304
1997-12-01,8.55,0.347811226864587,1211331651866.09,135.580416035304
1998-01-01,8.55,0.347811226864587,1211331651866.09,135.580416035304
1998-02-01,8.55,0.347811226864587,1211331651866.09,135.580416035304
1998-03-01,6.39,0.347811226864587,1211331651866.09,135.580416035304
1998-04-01,6.39,0.347811226864587,1211331651866.09,135.580416035304
1998-05-01,6.39,0.347811226864587,1211331651866.09,135.580416035304
1998-06-01,6.39,0.347811226864587,1211331651866.09,135.580416035304
1998-07-01,5.22,0.347811226864587,1211331651866.09,135.580416035304
1998-08-01,5.22,0.347811226864587,1211331651866.09,135.580416035304
1998-09-01,5.22,0.347811226864587,1211331651866.09,135.580416035304
1998-10-01,5.22,0.347811226864587,1211331651866.09,135.580416035304
1998-11-01,5.22,0.347811226864587,1211331651866.09,135.580416035304
1998-12-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-01-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-02-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-03-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-04-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-05-01,4.59,0.347811226864587,1211331651866.09,135.580416035304
1999-06-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-07-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-08-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-09-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-10-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-11-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
1999-12-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
2000-01-01,3.24,0.347811226864587,1211331651866.09,135.580416035304
2000-02-01,3.24,0.37875409205254756,1222004088969.3418,136.03918344572367
2000-03-01,3.24,0.40969695724050814,1232676526072.5935,136.49795085614335
2000-04-01,3.24,0.4406398224284688,1243348963175.8452,136.956718266563
2000-05-01,3.24,0.47158268761642935,1254021400279.0967,137.41548567698268
2000-06-01,3.24,0.5025255528043899,1264693837382.3484,137.87425308740234
2000-07-01,3.24,0.5334684179923506,1275366274485.6,138.33302049782202
2000-08-01,3.24,0.5644112831803111,1286038711588.8518,138.79178790824167
2000-09-01,3.24,0.5953541483682717,1296711148692.1035,139.25055531866133
2000-10-01,3.24,0.6262970135562322,1307383585795.355,139.709322729081
2000-11-01,3.24,0.6572398787441929,1318056022898.6067,140.16809013950066
2000-12-01,3.24,0.6881827439321535,1328728460001.8584,140.62685754992035
2001-01-01,3.24,0.719125609120114,1339400897105.11,141.08562496034
2001-02-01,3.24,0.5982008998309175,1350330626913.0134,141.444334940957
2001-03-01,3.24,0.477276190541721,1361260356720.9167,141.80304492157398
2001-04-01,3.24,0.3563514812525245,1372190086528.82,142.161754902191
2001-05-01,3.24,0.235426771963328,1383119816336.7234,142.520464882808
2001-06-01,3.24,0.11450206267413154,1394049546144.6267,142.879174863425
2001-07-01,3.24,-0.006422646615064975,1404979275952.53,143.23788484404201
2001-08-01,3.24,-0.1273473559042615,1415909005760.4333,143.596594824659
2001-09-01,3.24,-0.248272065193458,1426838735568.3367,143.955304805276
2001-10-01,3.24,-0.3691967744826544,1437768465376.24,144.314014785893
2001-11-01,3.24,-0.49012148377185094,1448698195184.1433,144.67272476651
2001-12-01,3.24,-0.6110461930610475,1459627924992.0466,145.031434747127
2002-01-01,3.24,-0.731970902350244,1470557654799.95,145.390144727744
2002-02-01,2.7,-0.5770063698796928,1486367895553.8533,146.0702106133206
2002-03-01,2.7,-0.42204183740914164,1502178136307.7566,146.75027649889716
2002-04-01,2.7,-0.2670773049385905,1517988377061.66,147.43034238447376
2002-05-01,2.7,-0.1121127724680393,1533798617815.5632,148.11040827005033
2002-06-01,2.7,0.042851760002511896,1549608858569.4666,148.79047415562692
2002-07-01,2.7,0.19781629247306298,1565419099323.37,149.4705400412035
2002-08-01,2.7,0.3527808249436143,1581229340077.2734,150.1506059267801
2002-09-01,2.7,0.5077453574141654,1597039580831.1768,150.83067181235668
2002-10-01,2.7,0.6627098898847165,1612849821585.08,151.51073769793325
2002-11-01,2.7,0.8176744223552678,1628660062338.9834,152.19080358350985
2002-12-01,2.7,0.9726389548258189,1644470303092.8867,152.87086946908641
2003-01-01,2.7,1.12760348729637,1660280543846.79,153.550935354663
2003-02-01,2.7,1.3523563159451384,1684869395919.6733,153.23782030243544
2003-03-01,2.7,1.5771091445939067,1709458247992.5566,152.92470525020784
2003-04-01,2.7,1.801861973242675,1734047100065.44,152.61159019798026
2003-05-01,2.7,2.0266148018914434,1758635952138.3232,152.29847514575266
2003-06-01,2.7,2.2513676305402117,1783224804211.2065,151.9853600935251
2003-07-01,2.7,2.47612045918898,1807813656284.0898,151.67224504129751
2003-08-01,2.7,2.7008732878377484,1832402508356.9731,151.3591299890699
2003-09-01,2.7,2.9256261164865167,1856991360429.8567,151.04601493684234
2003-10-01,2.7,3.150378945135285,1881580212502.74,150.73289988461474
2003-11-01,2.7,3.3751317737840534,1906169064575.6233,150.41978483238717
2003-12-01,2.7,3.5998846024328217,1930757916648.5066,150.10666978015956
2004-01-01,2.7,3.82463743108159,1955346768721.39,149.793554727932
2004-02-01,2.7,3.6539521515477666,1982897967151.2615,149.90124213079974
2004-03-01,2.7,3.4832668720139432,2010449165581.1333,150.0089295336675
2004-04-01,2.7,3.31258159248012,2038000364011.005,150.11661693653525
2004-05-01,2.7,3.141896312946297,2065551562440.8767,150.224304339403
2004-06-01,2.7,2.9712110334124735,2093102760870.7483,150.33199174227076
2004-07-01,2.7,2.80052575387865,2120653959300.62,150.43967914513848
2004-08-01,2.7,2.629840474344827,2148205157730.4917,150.54736654800624
2004-09-01,2.7,2.4591551948110038,2175756356160.3633,150.655053950874
2004-10-01,3.33,2.2884699152771804,2203307554590.235,150.76274135374175
2004-11-01,3.33,2.117784635743357,2230858753020.107,150.8704287566095
2004-12-01,3.33,1.9470993562095336,2258409951449.9785,150.97811615947725
2005-01-01,3.33,1.77641407667571,2285961149879.85,151.085803562345
2005-02-01,3.33,1.7658321531659509,2324807608821.8643,151.61986430570025
2005-03-01,3.33,1.7552502296561916,2363654067763.8784,152.15392504905552
2005-04-01,3.33,1.7446683061464325,2402500526705.8926,152.68798579241076
2005-05-01,3.33,1.7340863826366733,2441346985647.9067,153.222046535766
2005-06-01,3.33,1.7235044591269142,2480193444589.921,153.75610727912127
2005-07-01,3.33,1.712922535617155,2519039903531.935,154.2901680224765
2005-08-01,3.33,1.7023406121073958,2557886362473.949,154.82422876583175
2005-09-01,3.33,1.6917586885976368,2596732821415.9634,155.35828950918702
2005-10-01,3.33,1.6811767650878775,2635579280357.9775,155.89235025254226
2005-11-01,3.33,1.6705948415781184,2674425739299.9917,156.4264109958975
2005-12-01,3.33,1.6600129180683592,2713272198242.006,156.96047173925277
2006-01-01,3.33,1.6494309945586,2752118657184.02,157.494532482608
2006-02-01,3.33,1.913375717827745,2818636086001.885,156.81765182043668
